project,BugInducing,InducingDate,BugFixing,FixingDates,InducingMessage
jcmgray/quimb,289bafa44d5e875c4405a1b4c8397c8f0c2ef03c,2018-08-15T00:54:04Z,eeb57d6a00ffab256190bf0aed2ab09f54731d88/73fe476f9a34225acfbb1514fc4ba7581b7a6522/d5db2de78b0db1591a3eb4ef01068f03149957ea/be2468b4c3152fdc77071495ed64bea3698ca97f/9295af597726ce282db0b28aa329971ac2edddfb/,2020-02-10 23:18:20-08:00/2018-08-15 15:33:25+01:00/2018-09-06 00:58:09+01:00/2018-08-22 19:02:51+01:00/2019-10-23 15:44:35+01:00/,updates for new rand changes
deepchem/deepchem,3ae09ba59a666fb69ce23bc9f2e4abb9c966f535,2020-09-15T00:55:30Z,d87084ce7961b995ae5157f75232ef98d30efcac/,2020-09-15 13:19:53+09:00/,Fixed indent error
qucat/qucat,96daf27870473a2da46b533a0fc3060b34a4671a,2019-05-03T12:50:14Z,a94b30cb3ffa8a2653c002f55b0a91461622efbb/c978983abcde81a2503ea4756292d2746c407e2a/,2019-05-03 16:46:15+02:00/2019-07-03 09:51:29+02:00/,Adapting arrow directions
evaleev/libint,dcc0c9a5c05e156ac0794ed206198649c2cedca1,2014-11-28T03:38:01Z,cdb4456e61bcf352fcfcac204bf0ccac21a7e7b3/b2941b2c6a844b15e2c2bea648f9863e3ffa17df/,2019-05-17 15:30:14-04:00/2020-04-01 22:37:52-04:00/,travis-ci: debugging export build problems
TRIQS/triqs,e12e94905f23e61e7e91ca54c679cdde2b4ea43e,2016-06-09T16:28:04Z,7e215a6da7e2af6eb2013b4b29dfdfbba539301b/f5db0d1e1e199643751b49c1f8a1d165a8ff9336/10d2e3701a06cd538e9b6627b47b4bd75460fc26/a6a55d93d64c05bd02e76c98f4396020d69929aa/9ce8861a2223029d888d89848c635df94da49992/3d223195224735e68ef65c3c206eb5d421dd676c/7d3db78d77927b499404d35dde129402506c916b/bb13ff248ec142fb565f464b868dacf598e92fb4/924fd170be655ffb9cb68056f7a0c8a385ea6e6a/899196f0085ba90c974f9f11afcffe61705804d6/,2020-05-06 17:02:14-04:00/2020-02-20 16:07:47-05:00/2018-01-24 19:36:08+01:00/2016-05-05 18:28:23+02:00/2017-01-15 16:34:16+01:00/2016-07-15 11:53:29+02:00/2016-07-13 15:43:29+02:00/2016-12-04 16:18:53+01:00/2016-08-04 18:02:06+02:00/2017-01-21 17:56:15+01:00/,"[py] Wrap G_k_om (and related).

Wrap basic functionalities of G_k_om (imfreq/refreq only).

List of wrapped types:
- BrillouinZone (in lattice_tools_desc--> pytriqs.lattice)
- MeshBrillouinZone (in gf_desc --> pytriqs.gf.local)
- GfBrillouinZone ("""")
- GfImFreqNoTail ("""") : needed for slice at const k on G_k_om
- GfReFreqNoTail ("""") : needed for slice at const k on G_k_om
- GfBrillouinZone_x_ImFreq (in multivar_desc --> pytriqs.gf.local.multivar)
- GfBrillouinZone_x_ReFreq (in multivar_desc --> pytriqs.gf.local.multivar)

Test: in pytriqs/gf/gf_multivar/g_k_om.py

Note::
- plotting is still rudimentary (because no oplot for GfBrillouinZone yet)
- did not check: serialization, hdf5
- no tail in this object"
TRIQS/triqs,5b3904afef9258663b4560bb516c2c22b42b8ea0,2020-06-26T20:22:48Z,81e82709023ada718470b35e8331536d473794fa/c56ece95d6797f4bbb502af325238d51f246fbe6/03171a021646c4b74d91d091bb50f37551a2abcb/082a9dfa75149a067b5ee624dae8e1a56da8626d/3d78db32c77ec979356575050322937fe7990b51/5ea2fb4d73f536fedf5947e84780c9b7fe99fd0a/5e2efaa00a6678aa2b04fb95f12c5351aa84d64d/,2020-07-08 12:03:19-04:00/2020-07-08 12:03:19-04:00/2020-07-01 09:19:26-04:00/2020-07-02 16:02:10-04:00/2020-07-02 16:02:10-04:00/2020-06-29 17:44:25-04:00/2020-06-26 18:10:27-04:00/,"Draft of a focal-based base image using memory sanitizer for libcxx, hdf5"
deepchem/deepchem,4fed7c2d07f0fa64f91834c7d91fc04330f0d662,2020-05-05T01:40:25Z,8df1d6bf8f45f2616e2bf6922831f516d0f9157c/d05e0ef5dca3fd1224718681dad30c1fc23319f2/0d530e60d4ee11cb5ddcdcfa9eced22e230592cc/11850f7a4cdd75cd4456de9d48d6369f1acb602f/,2020-06-06 22:35:48+09:00/2020-07-16 14:22:46+09:00/2020-07-03 12:10:21-07:00/2020-06-01 15:09:16+09:00/,"Run CI tests on Windows (#1835)

Run travis tests on Windows"
QuTech-Delft/qtt,9e4052300e6638dfa282c954a77d7058a2047a83,2017-06-22T22:20:15Z,99dd31c9584d8af7346097f9979448c85aeaa456/cafab81de1a62c2bfd3b522459ddce6704da7344/abdb0ea4de1e070c64adb5ffbd1bf1893ce9bd49/da34a8c1af55d3a02f0d044b13837f70e39f16fa/93e7eca4b2135c96f98d356a17c3da8cc4dd1c04/c9ec15ac06ef552068429d19341835ca5d6b4e12/,2019-04-12 13:21:04+02:00/2018-10-14 21:35:55+02:00/2018-05-18 12:34:48+02:00/2018-10-14 21:35:55+02:00/2018-05-29 20:32:53+02:00/2018-08-08 21:36:37+02:00/,"add fast readout mode for gates (#111)

* add fast readout mode for gates

* fix typo

* fixes

* add multi_set; fix bugs"
deepchem/deepchem,dcaf25250ec0b0d6ab82edb3ec406538b26e46d8,2018-05-09T19:45:25Z,d97cbca1cf7e04a5e7cad348a226ebaf2b07a366/,2019-08-28 10:53:37-07:00/,yapf
XanaduAI/pennylane,3b3eaf016d29eee0bd7fdf42b0cbe764deaab8a2,2018-08-15T11:48:38Z,2563fbc94a8f49849df8bb1dfef7074fe065ebcf/015b5ff29dd63081c36c384b4371901c46411679/4b64aea84d609205dbe3d9a666dd68f428330818/ef7d7b016ddfbab1c112e0bd465c90a08dc31104/9f051839ce48f5f99675734d88bd42c57156b54e/96391dd5c6c3234c432b9334bc6de5cd150172d5/af639182941b9f5500ecacdfde54e0851c9e53f9/147559af093fdb3a15531a4b890f00d3cad8e67e/,2018-08-30 13:01:43+02:00/2018-08-15 15:45:17+02:00/2018-08-15 16:57:27+02:00/2018-08-30 17:28:20+02:00/2018-08-15 16:31:29+02:00/2018-08-17 20:56:22+02:00/2018-08-17 20:48:47+02:00/2018-08-23 13:49:37+02:00/,added AllZ gate ane AllZ measurement as good as currently possible
